wavelength,fractal_dimension,fraction_of_coating,primary_particle_size,number_of_primary_particles,vol_equi_radius_outer,vol_equi_radius_inner,equi_mobility_dia,mie_epsilon,length_scale_factor,m_real_bc,m_im_bc,m_real_organics,m_im_organics,volume_total,volume_bc,volume_organics,density_bc,density_organics,mass_total,mass_organics,mass_bc,mr_total/bc,mr_nonBC/BC,q_ext,q_abs,q_sca,g,c_geo,c_ext,c_abs,c_sca,ssa,mac_total,mac_bc,mac_organics
530,2.9,70,22.4,36.0,73.9631703752396,49.5289087334193,221.303247539309,2,0.011855066617319974,1.96,0.65,1.47,0.04,1694865.209711076,508938.00988154334,1185927.1998295328,1.5,1.1,2.067926934634801e-15,1.304519919812486e-15,7.634070148223149e-16,2.7088131160493947,1.7088131160493942,0.550910874072251,0.38905241046207095,0.16185846361018008,0.21946897907047713,17186.241487950676,0.009468087320143691,0.006686348677670459,0.0027817386424732315,0.29380154073515824,3.2333582805483783,8.758563319236366,5.125524398762394
660,2.7,30,16.9,105.0,79.7290282673493,70.7654097047479,288.21643399195,2,0.009519977738150888,2.0,0.63,1.47,0.0,2122941.477255345,1484402.5288211706,638538.9484341743,1.5,1.1,2.928996636509347e-15,7.023928432775917e-16,2.2266037932317557e-15,1.3154547950617288,0.3154547950617289,0.7261588174216599,0.5599662216050122,0.16619259581664766,0.20297628774826063,19970.218407811073,0.014501550182668351,0.011182647746448829,0.0033189024362195226,0.22886535538704933,3.817910750411728,5.022289003746831,15.92078827891666
660,2.5,50,18.9,60.0,73.9909984180915,58.7230146175329,242.294990567015,2,0.009519977738150888,2.0,0.63,1.47,0.0,1696778.9674246786,848230.0164692416,848548.950955437,1.5,1.1,2.205748870754843e-15,9.334038460509807e-16,1.2723450247038622e-15,1.7336090666666695,0.7336090666666694,0.4715099672529398,0.3803709492495485,0.0911390180033913,0.20155424427316518,17199.176288684197,0.008109583048655025,0.006542067011237134,0.0015675160374178899,0.1932918163626011,2.965916518410517,5.141739767292915,7.008827999707877
467,2.1,60,20.4,500.0,161.914907300756,119.055078897614,771.134907337941,2,0.013454358259485195,1.92,0.67,1.59,0.11,17780710.70256371,7068583.470576863,10712127.231986847,1.5,1.1,2.2386215161050825e-14,1.1783339955185531e-14,1.0602875205865293e-14,2.111334400000033,1.111334400000033,2.0044973418070917,1.328969335812308,0.6755280059947838,0.7728145097770607,82361.36653033503,0.16509314027765615,0.10945573057441339,0.05563740970324274,0.3370061869903917,4.889425469511813,10.323212190016603,9.289024248701649
467,2.3,90,29.0,14.0,69.8941256610816,36.1521339626284,176.990024529176,2,0.013454358259485195,1.92,0.67,1.59,0.11,1430245.6602634897,197920.33717615608,1232325.3230873337,1.5,1.1,1.6524383611603014e-15,1.3555578553960672e-15,2.968805057642341e-16,5.566004938271614,4.566004938271614,0.5671398300184141,0.39131828789830614,0.17582154212010792,0.34985203525630126,15347.273251533192,0.008704049943120688,0.006005668692697439,0.0026983812504232487,0.3100144493720346,3.634428269070446,20.22924569344006,4.4304038140391295
467,2.7,15,15.8,39.0,53.5811407996238,50.8681716452125,162.601867756029,2,0.013454358259485195,1.92,0.67,1.59,0.11,644353.9233386341,551349.5107050085,93004.41263362556,1.5,1.1,9.293291199545007e-16,1.0230485389698811e-16,8.270242660575126e-16,1.1237023604938257,0.12370236049382578,0.9241222818997017,0.747649158757779,0.1764731231419226,0.17485875056993105,9019.319769827833,0.008334954366876389,0.006743286838479184,0.001591667528397204,0.19096295652470358,7.256080428007389,8.153674704884953,65.91365494025409
467,2.7,90,29.0,5.0,49.5893024536242,25.6496392001504,104.688311081234,2,0.013454358259485195,1.92,0.67,1.59,0.11,510802.021522676,70685.83470576988,440116.1868169061,1.5,1.1,5.901565575572515e-16,4.841278054985967e-16,1.0602875205865482e-16,5.566004938271635,4.566004938271635,0.32954099148854327,0.26511482316548546,0.06442616832305781,0.1444595417656913,7725.487094727389,0.0025458646769284097,0.002048141144985892,0.0004977235319425176,0.19550274468752282,3.470504764809294,19.316846659223774,4.2305794497313345
467,2.3,40,17.8,42.0,61.8732742789788,52.1403996732967,190.24034889729,2,0.013454358259485195,1.92,0.67,1.59,0.11,992196.9932710268,593761.0115284693,398435.9817425575,1.5,1.1,1.328921097209517e-15,4.3827957991681326e-16,8.906415172927039e-16,1.4920942617283979,0.49209426172839793,0.8446447594327484,0.6742197965926549,0.17042496284009356,0.339903607005863,12026.965658840061,0.01015851351561689,0.00810881834012999,0.0020496951754868987,0.20177117176995046,6.101805710780704,9.104469287237457,18.50147419979974
660,1.9,70,22.4,16.0,56.4444630352903,37.7976314968461,146.343926362268,2,0.009519977738150888,2.0,0.63,1.47,0.0,753273.4265382563,226194.6710584634,527078.755479793,1.5,1.1,9.190786376154673e-16,5.797866310277723e-16,3.3929200658769505e-16,2.7088131160493987,1.7088131160493987,0.19994513615149448,0.17704463299074788,0.022900503160746596,0.16463488151989294,10009.043217409477,0.00200125950885113,0.001772047383014795,0.000229212125836335,0.11453393466593424,1.9280693843699157,5.222779637034517,3.0563784816382085
530,1.7,80,25.6,275.0,166.475705196977,97.544358513854,713.38690400371,2,0.011855066617319974,1.96,0.65,1.47,0.04,19325965.462205827,3887720.908817365,15438244.553388461,1.5,1.1,2.2813650371953355e-14,1.6982069008727307e-14,5.8315813632260464e-15,3.9120864395061417,2.912086439506141,0.8976549751059526,0.625929399548069,0.27172557555788357,0.6393411837927772,87066.60277849104,0.07815576914968624,0.05449754639783114,0.023658222751855102,0.30270603193149026,2.3888130794197378,9.345243254512862,3.209122891316961
467,1.7,90,29.0,105.0,136.813125429179,70.7654097047479,494.572579039441,2,0.013454358259485195,1.92,0.67,1.59,0.11,10726842.451976093,1484402.5288211706,9242439.923154922,1.5,1.1,1.239328770870217e-14,1.0166683915470414e-14,2.2266037932317557e-15,5.566004938271574,4.566004938271574,1.1126949485466733,0.716753944645448,0.3959410039012254,0.6487999941903215,58803.80127085552,0.06543069262942337,0.0421478565210327,0.023282836108390683,0.35583967053897086,3.4008616205559257,18.92921257439255,4.145683771765271
660,2.3,90,29.0,650.0,251.209340548861,129.935865801135,1253.16801910163,2,0.009519977738150888,2.0,0.63,1.47,0.0,66404262.7979473,9189158.51175006,57215104.286197245,1.5,1.1,7.672035248244206e-14,6.293661471481697e-14,1.3783737767625088e-14,5.566004938271604,4.566004938271604,0.9663762359650381,0.3926493709361629,0.5737268650288752,0.8513909751889476,198253.7631349484,0.19158772538425567,0.07784421538066454,0.11374351000359112,0.5936889212263614,1.0146488234458995,5.647540361911349,1.2368668974872257
467,2.9,60,20.4,34.0,66.0880807460606,48.5941770191622,195.753667965888,2,0.013454358259485195,1.92,0.67,1.59,0.11,1209088.3277743366,480663.67599923693,728424.6517750996,1.5,1.1,1.5222626309514648e-15,8.012671169526095e-16,7.209955139988553e-16,2.1113344,1.1113344,0.8295992961909349,0.5947794930625747,0.23481980312836015,0.23343882897911072,13721.328197063829,0.01138320421508898,0.008161164629194835,0.003222039585894145,0.28305207611255695,5.361206708525608,11.31930014922089,10.185323291730093
467,1.7,5,15.3,9.0,31.8252824926941,31.2012573457785,74.538492301518,2,0.013454358259485195,1.92,0.67,1.59,0.11,135022.27189759363,127234.50247038587,7787.769427207764,1.5,1.1,1.9941830007550733e-16,8.56654636992854e-18,1.908517537055788e-16,1.044885866666669,0.04488586666666889,0.4745181442708906,0.4481736115766518,0.02634453269423881,0.09772352751391093,3181.9577389907627,0.0015098966814542957,0.0014260694917677672,8.382718968652833e-05,0.05551849389177281,7.151146565926012,7.472131977197973,166.46959348445844
467,2.3,10,15.5,2.0,19.5287762733705,18.898815748423,35.0656980923666,2,0.013454358259485195,1.92,0.67,1.59,0.11,31197.062247697675,28274.333882307703,2922.728365389972,1.5,1.1,4.5626502025390516e-17,3.2150012019289696e-18,4.241150082346155e-17,1.075804938271613,0.07580493827161307,0.253550872890532,0.24933310561216696,0.004217767278365087,0.020711380865274267,1198.118937830148,0.0003037841025135111,0.0002987307156619416,5.053386851569533e-06,0.01663479691582866,6.547306990478956,7.0436251927375135,92.91776173604727
660,1.9,1,15.1,200.0,88.3053356940285,87.7205321463859,357.707246645646,2,0.009519977738150888,2.0,0.63,1.47,0.0,2884359.884871896,2827433.388230806,56926.496641089674,1.5,1.1,4.303769228651407e-15,6.261914630519863e-17,4.241150082346209e-15,1.0147646617283954,0.014764661728395533,0.8900874724887208,0.7719817394821566,0.11810573300656409,0.5982829115306799,24497.612705414467,0.021805018174969937,0.018911709669486042,0.002893308505483893,0.13269002952747516,4.394220197399398,4.459099372174084,302.01161761791684
660,2.7,80,25.6,3.0,36.9215889998696,21.6337435546111,71.2192340443975,2,0.009519977738150888,2.0,0.63,1.47,0.0,210828.71413315556,42411.50082346206,168417.2133096935,1.5,1.1,2.488761858758559e-16,1.8525893464066283e-16,6.361725123519308e-17,3.9120864395061683,2.9120864395061687,0.08221294394156868,0.07759895006474019,0.00461399387682849,0.03564354490408947,4282.630836945429,0.00035208768892022794,0.0003323276564618448,1.9760032458383082e-05,0.056122474827173204,1.3353132011899926,5.2238606668689425,1.7938549474358336
530,2.9,50,18.9,9.0,39.3135842556809,31.2012573457785,92.0769610783458,2,0.011855066617319974,1.96,0.65,1.47,0.04,254516.8451137004,127234.50247038587,127282.34264331454,1.5,1.1,3.3086233061322476e-16,1.4001057690764597e-16,1.908517537055788e-16,1.7336090666666655,0.7336090666666655,0.3007026222611503,0.27761142761684365,0.023091194644306645,0.0604542894231237,4855.513366418419,0.0014600656017060838,0.0013479459974640835,0.00011211960424200032,0.07679079906477405,4.07403887582422,7.062790733081336,9.62745834804479
660,2.7,20,16.2,36.0,53.4912214320929,49.5289087334193,160.049670095393,2,0.009519977738150888,2.0,0.63,1.47,0.0,641115.3183039007,508938.00988154334,132177.3084223573,1.5,1.1,9.088020540869078e-16,1.4539503926459304e-16,7.634070148223149e-16,1.1904554666666693,0.19045546666666946,0.4505201835762338,0.40314066285824707,0.04737952071798675,0.08436085480319197,8989.07289560302,0.00404975877110722,0.0036238608056145035,0.0004258979654927164,0.1051662554647111,3.987513880847762,4.7469576978644445,24.924239671064175
530,1.9,1,15.1,500.0,119.848779423599,119.055078897614,570.791034353083,2,0.011855066617319974,1.96,0.65,1.47,0.04,7210899.712179743,7068583.470576863,142316.24160287995,1.5,1.1,1.0759423071628461e-14,1.5654786576316794e-16,1.0602875205865293e-14,1.014764661728412,0.014764661728412013,1.7216758499437779,1.3728564063746536,0.3488194435691244,0.6974851390069275,45124.988424119925,0.0776906027987998,0.06195012944563512,0.015740473353164693,0.2026045980609621,5.7577556931459934,5.8427670082701315,395.72643896248206
